Titulo;Genero;Temporada;Pre_estreia;Idioma;Ativo;Status;Data_de_Inclusao;Data_de_Alteracao
The Dragon Prince;childrens-animation;2 seasons, 18 episodes;2018-09-14T00:00:00.000Z;English;1;Renewed;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Death by Magic;Reality;1 season, 8 episodes;2018-11-30T00:00:00.000Z;English;1;Pending;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Fearless;Sport;6 episodes;2016-08-19T00:00:00.000Z;English;0;Miniseries;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Beyond Stranger Things;Aftershow;1 season, 7 episodes;2017-10-27T00:00:00.000Z;English;1;Pending;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Marco Polo;Historical drama;2 seasons, 20 episodes;2014-12-12T00:00:00.000Z;English;0;Ended;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
The Boss Baby: Back in Business;childrens-animation;2 seasons, 26 episodes;2018-04-06T00:00:00.000Z;English;1;Pending;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Evil Genius: The True Story of America's Most Diabolical Bank Heist;True crime;4 episodes;2018-05-11T00:00:00.000Z;English;0;Miniseries;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
The Society;Mystery drama;1 season, 10 episodes;2019-05-10T00:00:00.000Z;English;1;Pending;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Chelsea;Late-night;2 seasons, 120 episodes;2016-05-11T00:00:00.000Z;English;0;Ended;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
All About the Washingtons;Comedy;1 season, 10 episodes;2018-08-10T00:00:00.000Z;English;0;Ended;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Charlie's Colorforms City;childrens-animation;1 season, 13 episodes;2019-03-22T00:00:00.000Z;English;1;Pending;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Abstract: The Art of Design;Biography;1 season, 8 episodes;2017-02-10T00:00:00.000Z;English;0;Ended;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Sunderland 'Til I Die;Sport;1 season, 8 episodes;2018-12-14T00:00:00.000Z;English;1;Pending;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Norm Macdonald Has a Show;Talk show;1 season, 10 episodes;2018-09-14T00:00:00.000Z;English;1;Pending;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Julie's Greenroom;Educational;1 season, 13 episodes;2017-03-17T00:00:00.000Z;English;0;Ended;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Lego Elves: Secrets of Elvendale;childrens-animation;1 season, 8 episodes;2017-09-01T00:00:00.000Z;English;0;Ended;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Battlefish;Reality;1 season, 8 episodes;2018-09-21T00:00:00.000Z;English;1;Pending;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Selling Sunset;Reality;1 season, 8 episodes;2019-03-22T00:00:00.000Z;English;1;Pending;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Master of None;Comedy;2 seasons, 20 episodes;2015-11-06T00:00:00.000Z;English;0;Ended;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Formula 1: Drive to Survive;Sport;1 season, 10 episodes;2019-03-08T00:00:00.000Z;English;1;Pending;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Kulipari: Dream Walker;childrens-animation;1 season, 10 episodes;2018-11-20T00:00:00.000Z;English;1;Pending;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Quicksand;Crime drama;1 season, 6 episodes;2019-04-05T00:00:00.000Z;Swedish;1;Pending;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Dinotrux;childrens-animation;5 seasons, 52 episodes;2015-08-14T00:00:00.000Z;English;0;Ended;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Estocolmo;Crime drama;1 season, 13 episodes;2016-11-11T00:00:00.000Z;Spanish;0;Ended;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Club de Cuervos Presents: The Ballad of Hugo Sánchez;Comedy;1 season, 6 episodes;2018-06-17T00:00:00.000Z;Spanish;0;Ended;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Fire Chasers;Miniseries;4 episodes;2017-09-08T00:00:00.000Z;English;0;Miniseries;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
No Good Nick;Sitcom;1 part, 10 episodes;2019-04-15T00:00:00.000Z;English;1;Renewed;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
Trigger Warning with Killer Mike;Docu-series;1 season, 6 episodes;2019-01-18T00:00:00.000Z;English;1;Pending;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
A.I.C.O. -Incarnation-;Science fiction;1 season, 12 episodes;2018-03-09T00:00:00.000Z;English;0;Ended;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
The Hollow;childrens-animation;1 season, 10 episodes;2018-06-08T00:00:00.000Z;English;1;Renewed;2021-03-17T00:20:24.000Z;2023-01-03T23:08:19.775Z
